Start (s)	Stop (s)	t queda (s)
0.22219467163085938	1.0953128337860107	0.9694480895996094
0.06244325637817383	1.0946154594421387	0.9830613136291504
-0.03127479553222656	1.1119954586029053	0.9791038036346436
-0.22136211395263672	1.053879737854004	0.9752538204193115
0.03145432472229004	1.0247149467468262	0.9776701927185059
-0.06380820274353027	1.1961770057678223	1.013617753982544
-0.06409120559692383	1.0897696018218994	0.9977948665618896
0.09530353546142578	1.0242342948913574	0.977198600769043
-0.11299443244934082	1.0692477226257324	0.9754700660705566
-0.12892889976501465	0.9946093559265137	0.9630560874938965
-0.11195063591003418	0.9630098342895508	0.9630098342895508
-0.015557050704956055	1.0882148742675781	0.9939143657684326
-0.2992703914642334	1.0857982635498047	0.974865198135376
-0.1432030200958252	1.0362024307250977	0.9893643856048584
0.031240224838256836	1.1998958587646484	0.9795868396759033
0.09454131126403809	1.0799424648284912	0.9842665195465088
-0.3485720157623291	1.0874297618865967	0.9779453277587891
-0.09535050392150879	1.118692398071289	0.9764950275421143
0.04741525650024414	1.039910078048706	0.9772038459777832
0.03125333786010742	1.108255386352539	0.9817814826965332
-0.0961143970489502	1.0915637016296387	0.9811816215515137
0.0	1.0923149585723877	0.9807703495025635
0.17230534553527832	0.9635424613952637	0.9948792457580566
0.7746307849884033	1.1420049667358398	0.9354884624481201
0.23844432830810547	0.9991252422332764	0.9835479259490967
-0.06526422500610352	0.9750490188598633	0.9750490188598633
-0.03113698959350586	1.1171557903289795	1.0054254531860352
0.031281232833862305	1.0401585102081299	0.9923505783081055
-0.17047929763793945	0.913715124130249	1.0113892555236816
0.018640518188476562	1.1419997215270996	0.9832494258880615
